lens,role_unit_key,dominant_role_full,occurrences_full,dominant_role_tier,occurrences_tier,distinct_lines,dominant_role_share,supported_loose,supported_standard,tier,seen_in_tier,same_dominant_role
surface_token,dain,R06,48,R06,15,15,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,or,R06,48,R06,11,11,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,shey,R06,48,R06,22,21,1.0,True,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,okaiin,R10,42,R10,13,13,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,s,R06,39,R06,11,11,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,dal,R09,37,R09,13,13,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,okeey,R06,37,R06,10,10,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,okain,R10,36,R10,9,9,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,okal,R07,36,R07,14,12,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,oky,R00,29,R00,8,8,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,sheey,R06,29,R06,10,10,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,okar,R03,27,R03,10,10,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,y,R06,25,R06,8,8,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
conservative_morphology,o|dy|O,R00,41,R00,10,10,0.8,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
broad_shape,X|NONE,R06,46,R06,13,13,0.923,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
broad_shape,O|dy,R00,43,R00,10,10,0.8,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
broad_shape,X|y,R06,30,R06,10,9,0.9,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
broad_shape,OG|y,R00,26,R00,4,3,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,NG|S_EY|T_y,R06,104,R06,38,37,0.974,True,True,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,NG|S_OEL|T_in,R06,93,R06,27,24,0.926,True,True,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,G_k|S_OL|T_r,R03,68,R03,22,18,0.864,True,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,NG|S_EY|T_ey,R06,63,R06,22,19,0.818,True,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,NG|S_X|T_NONE,R06,46,R06,13,13,0.923,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,NG|S_BY|T_y,R00,33,R00,13,13,0.769,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,NG|S_XY|T_y,R06,30,R06,10,9,0.9,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
stolfi_inspired_signature,G_k|S_EGY|T_y,R06,28,R06,12,12,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
